tipo_unidade;nome_oficial;rpa;distrito_sanitario;microregiao;cnes;cod_nat;tipo_servico;endereço;bairro;fone;especialidade;como_usar;horario;ordem;latitude;longitude
1|Academia da Cidade;Academia da Cidade Pólo Chão de Estrelas;2;2;2.1;7172893;Própria;Pólo de Academia da Cidade;Rua Marcilio Dias;Campina do Barreto;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.011;-8.02062260162;-34.8796835915
1|Academia da Cidade;Academia da Cidade Pólo Chié;2;2;2.1;6916317;Própria;Pólo de Academia da Cidade;Av Agamenon Magalhaes;Campo Grande;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.012;-8.0381328724;-34.8763877054
1|Academia da Cidade;Academia da Cidade Pólo Coque;1;1;1.3;6664261;Própria;Pólo de Academia da Cidade;Av Martin Luther King, S/N;Ilha Joana Bezerra;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.013;-8.06951728716;-34.8970170004
1|Academia da Cidade;Academia da Cidade Pólo CSU Afrânio Godoy;2;2;2.3;7172885;Própria;Pólo de Academia da Cidade;Av Anibal Benevolo, S/N - Alto do Pascoal;Alto Santa Terezinha;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.014;-8.01028336706;-34.9032775387
1|Academia da Cidade;Academia da Cidade Pólo do Engenho do Meio;4;4;4.2;6664717;Própria;Pólo de Academia da Cidade;Praça do Engenho do Meio;Engenho do Meio;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.015;-8.05759961826;-34.9433990095
1|Academia da Cidade;Academia da Cidade Pólo Ermírio de Moraes;3;3;3.2;;Própria;Pólo de Academia da Cidade;Av 17 de Agosto, 2388;Casa Forte;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.016;-8.02878769998;-34.9252285074
1|Academia da Cidade;Academia da Cidade Pólo ESEF;1;1;1.1;;Própria;Pólo de Academia da Cidade;Av Governador Agamenon Magalhaes, S/N;Santo Amaro;33552820;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.017;-8.04558568623;-34.8863634317
1|Academia da Cidade;Academia da Cidade Pólo Hérois da Restauração;5;5;5.2;7018371;Própria;Pólo de Academia da Cidade;Rua Ipojuca, S/N;Areias;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.018;-8.0972479278;-34.9356579623
1|Academia da Cidade;Academia da Cidade Pólo Hipodrómo;2;2;2.1;6664245;Própria;Pólo de Academia da Cidade;Praça do Hipodromo ;Hipódromo;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.019;-8.03222202174;-34.8860192
1|Academia da Cidade;Academia da Cidade Pólo IBURA;6;8;8.3;6665020;Própria;Pólo de Academia da Cidade;Av Pernambuco, UR 01;Cohab;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.020;-8.11820709692;-34.946116654
1|Academia da Cidade;Academia da Cidade Pólo Ilha de Joaneiro;2;2;2.1;6660398;Própria;Pólo de Academia da Cidade;Av Agamenon Magalhaes, S/N;Torreão;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.021;-8.04139040801;-34.8833405866
1|Academia da Cidade;Academia da Cidade Pólo Ilha do Leite;1;1;1.2;6664253;Própria;Pólo de Academia da Cidade;Praça Miguel de Cervantes;Ilha do Leite;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.022;-8.06680147603;-34.8935535599
1|Academia da Cidade;Academia da Cidade Pólo IPSEP;6;6;6.2;6665063;Própria;Pólo de Academia da Cidade;Praça Senador Roberto Kenedy;Ipsep;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.023;-8.11610010389;-34.9190577015
1|Academia da Cidade;Academia da Cidade Pólo Jaqueira;3;3;3.1;6664326;Própria;Pólo de Academia da Cidade;Rua do Futuro, S/N;Jaqueira;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.024;-8.03652441201;-34.9046906264
1|Academia da Cidade;Academia da Cidade Pólo Jardim São Paulo;5;5;5.3;6664806;Própria;Pólo de Academia da Cidade;Praça de Jardim São Paulo;Jardim São Paulo;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.025;-8.08161222638;-34.9382653115
1|Academia da Cidade;Academia da Cidade Pólo Jordão Baixo;6;8;8.2;7057466;Própria;Pólo de Academia da Cidade;Av Alberto Lundgren, S/N;Jordão;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.026;-8.13671884728;-34.9369062641
1|Academia da Cidade;Academia da Cidade Pólo Jovem Cap;2;2;2.1;7172907;Própria;Pólo de Academia da Cidade;Rua Coronel Urbano Ribeiro de Souza S/N;Campina do Barreto;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.027;-8.0143528173;-34.8832520436
1|Academia da Cidade;Academia da Cidade Pólo Lagoa do Araça;6;6;6.2;6665071;Própria;Pólo de Academia da Cidade;Av José F Lins, Lagoa do Araca;Imbiribeira;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.028;-8.09614153004;-34.9139499455
1|Academia da Cidade;Academia da Cidade Pólo Lavadeiras;5;5;5.2;7018495;Própria;Pólo de Academia da Cidade;Rua Palmares, S/N;Areias;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.029;-8.09453667719;-34.9366927744
1|Academia da Cidade;Academia da Cidade Pólo Morro da Conceição;3;7;7.1;6664318;Própria;Pólo de Academia da Cidade;Praça do Morro da Conceição, 589;Morro da Conceição;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.030;-8.01947724447;-34.9143462951
1|Academia da Cidade;Academia da Cidade Pólo Parque Santana;3;3;3.2;7172877;Própria;Pólo de Academia da Cidade;Rua Santana, S/N;Santana;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.031;-8.04194230138;-34.918012762
1|Academia da Cidade;Academia da Cidade Pólo Praça do Poeta;4;4;4.3;6664741;Própria;Pólo de Academia da Cidade;Praça do Poeta/Varzea;Várzea;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.032;-8.03452817704;-34.950385768
1|Academia da Cidade;Academia da Cidade Pólo Praça do Salgueiro;4;4;4.1;6865054;Própria;Pólo de Academia da Cidade;Praça do Salgueiro;Iputinga;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.033;-8.04286115714;-34.9383461145
1|Academia da Cidade;Academia da Cidade Pólo Roda de Fogo;4;4;4.2;7135874;Própria;Pólo de Academia da Cidade;Av Professor Artur Coutinho, S/N;Torrões;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.034;-8.05809741458;-34.9374035332
1|Academia da Cidade;Academia da Cidade Pólo San Martim;5;5;5.1;6664814;Própria;Pólo de Academia da Cidade;Patio de Eventos Noel Rodrigues;San Martin;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.035;-8.06698854141;-34.9273909545
1|Academia da Cidade;Academia da Cidade Pólo Santo Amaro;1;1;1.1;6664288;Própria;Pólo de Academia da Cidade;Av Agamenon Magalhaes, S/N ;Santo Amaro;33552820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.036;-8.04438595882;-34.8879910385
1|Academia da Cidade;Academia da Cidade Pólo Simão Borba;5;5;5.2;7018266;Própria;Pólo de Academia da Cidade;Rua Simão Borba, S/N;Areias;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.037;-8.09691264459;-34.9249195116
1|Academia da Cidade;Academia da Cidade Pólo Sítio da Trindade;3;3;3.2;6664296;Própria;Pólo de Academia da Cidade;Estrada do Arraial, S/N;Casa Amarela;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.038;-8.02887968856;-34.9121723101
1|Academia da Cidade;Academia da Cidade Pólo UR 5;6;8;8.3;7977018;Própria;Pólo de Academia da Cidade;Rua Capitão Vicente Curado;Cohab;33552812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.039;-8.13246191873;-34.9488805949
1|Academia da Cidade;Academia da Cidade Pólo Várzea;4;4;4.3;7018452;Própria;Pólo de Academia da Cidade;Rua Coronel Pacheco;Várzea;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.040;-8.04921717344;-34.9594670923
